史料名,項目番号,題,差出(著述者)・報告者,人物像,人物像２,年,月,日,記述場所,記述番号,記述内容,年,月,日,時刻,記述の性質,被害種別,被害場所,緯度,経度,備考,震度
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,10,一、同大番所屋根廻り共損じ、同巡り高塀傾き、壁落損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1797)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,11,一、鳴子御門傾き、屋根下廻り共損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1798)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,12,一、御廊下橋番所、廻り屋根下廻共損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1799)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,13,一、御本丸出丸御門屋根下廻共損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1800)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,14,一、南御門傾き損、御門台地形割損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1801)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,15,一、御本丸御堀側外石垣の内崩損、所々孕出、木柵損、御堀端通総体地形割損并沈み、不陸相成申候,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1802)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,16,一、西番頭小屋、本家向屋根下廻共所々損じ、雪隠二ヶ所壊損申侯、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1803)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,17,一、同長屋向屋根下廻共所々損、同構仕切の高塀竹垣共倒損、井戸屋形共内損申侯、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1804)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,18,一、西御番所小屋四十九軒の内、二十番二十七番両小屋共不残潰、十九番小屋下潰、上の間天井落損、十一番、十二番、十三番、十四番、十五番、十六番、十七番、十八番、二十一番、二十八番、二十九番、三十五番、三十六番、四十九番小屋共下陳潰損じ、上之間大破、其外小屋々々屋根下廻大破、同構高塀竹垣所々損申侯、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1805)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,19,一、南中仕切御門大破、両脇御塀之内倒損、并石垣石雁規共之内崩損、孕出申侯、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1806)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,20,一、稲荷曲輪与力小屋五軒の内、一棟潰、其外総体倒掛り、同心小屋不残潰損、廻竹垣之内倒損、高塀之内損申侯、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1807)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,21,一、西御門外御橋高欄の廻り、其外所々損申侯、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1808)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,22,一、御破損小屋廻り総体損、湯沸小屋潰、高塀の内倒損申侯、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1809)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,23,一、御本丸御天守台廻り、御塀并石垣損申侯、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1810)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,24,一、同所井戸屋形并井筒損申侯、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1811)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,25,一、同所高麗御門倒掛り、左右御塀石垣崩申侯、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1812)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,26,一、二丸御金蔵屋根大破、其外壁落、廻り切出葛石木柵総体損申侯、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1813)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,27,一、御台所家根瓦総体壁抜、羽目竃損申侯、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1814)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,28,一、御台所より八番御米蔵え続御塀倒掛り、大破相成申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1815)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,29,一、八番御米蔵前竹垣損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1816)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,30,一、御金蔵東南西え折廻し御塀倒申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1817)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,31,一、元御車寄口御塀損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1818)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,32,一、御米蔵より御唐門え続築地所々崩、総体所々破損に相成申侯、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1819)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,33,一、御唐門貫抜折、御屋根瓦掛戸外竹垣損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1820)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,34,一、同所より埋御門え続き、御築地崩損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1821)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,35,一、御車寄南北壁落、御屋根瓦共外総体壁落、并押土蔦石左右竹垣損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1822)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,36,一、埋御門より西南御門え折廻し、御塀所々倒損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1823)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,37,一、南御門より溜御蔵え続、御塀并切戸口皆倒損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1824)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,38,一、溜御蔵総体傾き二階危、并南東竹垣倒損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1825)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,39,一、鳴子御米蔵前竹垣損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1826)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,40,一、同所御米蔵北の手御塀、并切戸口倒損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1827)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,41,一、同所より二の丸御門え続、御塀并御黒門倒損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1828)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,42,一、御納戸前蔵傾き、総体御屋根瓦壁損附、庇崩申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1829)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,43,一、御玄関遠侍殿上の間、御式台の内、同裏の問、同大広問、同所溜の間、蘇鉄の問、御黒書院、御座の間、同所東溜、御雪隠総体傾き、御屋根天井、欄間羽目御張附雨戸壁等迄損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1830)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,44,一、御太鼓櫓総体大傾き相成申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1831)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,45,一、同所定番香盤台落損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1832)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,46,一、同所四方壁板羽目損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1833)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,47,一、東御門櫓北御定口瓦落損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1834)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,48,一、同所御夜の内通金物落申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1835)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,49,一、同所家根瓦落損、南登り塀大破、并北登り塀瓦落損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1836)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,50,一、御番所出口切戸屋根大破相成申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1837)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,51,一、西御築地出口、南の方角廻り大破成申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1838)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,52,一、中仕切御門続き高塀、北南共大破相成申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1839)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,53,一、御番裏高塀大破仕候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1840)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,54,一、御番所宍隠大破相成申候。,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1841)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,55,一、西冠木御門総体屋根大破、并続袖塀大破成候。,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1842)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,56,一、外側高塀北之方倒、并南の方屋根総体大破相成申候。,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1843)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,57,一、奥御門総体捻、并東袖塀打倒申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1844)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,58,一、御門椙豪東西石垣崩申侯、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1845)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,59,一、奥御番所裏廻り塀落、并屋根廻り破損仕候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1846)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,60,一、同所雪隠東の方壁落倒掛、西の方雪隠破損相成申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1847)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,61,一、同所東の方出口高塀、瓦落并倒申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1848)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,62,一、枡形番所総体破損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1849)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,63,一、二の丸御台所前、御蔵一番戸前庇倒掛、二番の御蔵棟落込、前通軒波形土瓦脇板共、三番の戸前庇倒壁大破、腰板共、二十四番屋根瓦所々、五番戸前庇倒、其外瓦所々、六番戸前庇倒、北之方軒壁所々、八番壁総体、戸前庇倒掛り、腰板共、并に米見所総体大破相成申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1850)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,64,一、鳴子御門内御蔵、九番前通北え折廻し壁、并下地落大破、裏通腰板共、十番前通壁所々土落、外十一番戸前庇倒、壁所々土落、十二番前通壁所々落、十三番戸前庇倒掛申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1851)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,65,一、高麗橋前御蔵、十四番戸前より北の方軒より棟迄抜落、裏通り屋根瓦土居葺迄落、同壁下地共落、十五番裏壁下地共落大破、并米見所東の方壁落、南流屋根板落申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1852)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,66,一、御天守台下御蔵、六番戸前庇倒掛り、裏通り軒より棟迄落掛り、十七番前通屋根瓦落戸前開、南の方璧落申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1853)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,67,一、東御門台渡り御櫓柱曲、西え傾き、石垣所々損じ孕出、総体壁破、御道具難被置御座候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1854)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,68,一、押御櫓北の方戸前明不申候、同所壁落、迫々大破に相成申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1855)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,69,一、同南の方御窓下壁大破相成申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1856)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,70,一、巽御櫓壁不残響、破目土落損、別て北の方戸前左右、并北東角は不残土落、裏板計りに相成申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1857)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,71,一、御焔硝蔵総体崩損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1858)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,72,一、足駄御蔵三ケ所、屋根瓦落総体落損、其外内通り総体損申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1859)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,73,一、数手桶不残、并留覆大破に相成申候、,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1860)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,74,右之通、去る二日地震にて致破損、此上損相増可申哉難計奉存候、尤難捨置御場所、追々手当申付、松平伯耆守殿えも申達候、新庄主殿頭、内藤豊後守、并両組中次に与力同心下々に至迄、 怪我無御座候旨申越候段、堀近江守、加納備中守より、以紙面私共方迄申聞候、依之此段申上候、以上、七月十六日　問部主殿頭　木下左兵衛,1830,,,,報告,建物被害,二条城,35.014325,135.74765,天明大火(1861)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,75,但し怪我人死人の儀も有之候得共、御届けには不被  申上候、御城内にては怪我人死人数多く有之候得共、不被申上候、以上,1830,,,,報告,人的被害(死亡),二条城,35.014325,135.74765,天明大火(1862)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,2,(二条城御破損所御届),御目付代間部主殿頭・木下佐兵衛,幕臣,武家,1830,7,16,二条城,76,右は、京都大地震にて、二条御城御破損御届け、百日御目付より御届け写也、,1830,,,,言説,情報,×,×,×,天明大火(1863)で城の北半分の建物は焼失しその後再建,
『宝暦現来集』 巻之十九,3,(京都町奉行松平伊予守書状写),松平伊予(伊勢)守松平定朝,京都西町奉行,武家,1830,7,5,京都西町奉行所,1,一、京都町奉行松平伊豫守殿より、御子息左金吾殿え書状之写、,1830,,,,言説,情報,×,×,×,甲子夜話にも引用あり,
『宝暦現来集』 巻之十九,3,(京都町奉行松平伊予守書状写),松平伊予(伊勢)守松平定朝,京都西町奉行,武家,1830,7,5,京都西町奉行所,2,令啓達候、御孫弥御障無之珍重に存候、自分儀も無異今在京候、扨又去る二日書状差出候後、左之通大地震に候得共、御役所一同怪我等も無之致安心候、心易可被存候、,1830,,,,報告,無事,京都西町奉行所,35.013169,135.744393,,
『宝暦現来集』 巻之十九,3,(京都町奉行松平伊予守書状写),松平伊予(伊勢)守松平定朝,京都西町奉行,武家,1830,7,5,京都西町奉行所,3,一、七ツ時過怪き地震二つ、,1830,7,2,七,報告,前震,京都西町奉行所,35.013169,135.744393,,
『宝暦現来集』 巻之十九,3,(京都町奉行松平伊予守書状写),松平伊予(伊勢)守松平定朝,京都西町奉行,武家,1830,7,5,京都西町奉行所,4,引続丑寅の方と覚申候、震動も不致唯一度に突倒候様に、,1830,7,2,七,報告,震動,京都西町奉行所,35.013169,135.744393,,
